구,전기차,색,색1,전기차/4
종로구,158,0.0336886993603411,0.00 ,1.58
중구,251,0.0535181236673774,0.10 ,2.51
용산구,238,0.0507462686567164,0.10 ,2.38
성동구,525,0.111940298507463,0.10 ,5.25
광진구,157,0.0334754797441365,0.00 ,1.57
동대문구,130,0.0277185501066098,0.00 ,1.3
중랑구,154,0.0328358208955224,0.00 ,1.54
성북구,210,0.0447761194029851,0.00 ,2.1
강북구,110,0.023454157782516,0.00 ,1.1
도봉구,139,0.029637526652452,0.00 ,1.39
노원구,199,0.0424307036247335,0.00 ,1.99
은평구,175,0.0373134328358209,0.00 ,1.75
서대문구,167,0.0356076759061834,0.00 ,1.67
마포구,261,0.0556503198294243,0.10 ,2.61
양천구,237,0.0505330490405117,0.10 ,2.37
강서구,324,0.0690831556503198,0.10 ,3.24
구로구,194,0.04136460554371,0.00 ,1.94
금천구,162,0.0345415778251599,0.00 ,1.62
영등포구,782,0.166737739872068,0.20 ,7.82
동작구,203,0.0432835820895522,0.00 ,2.03
관악구,175,0.0373134328358209,0.00 ,1.75
서초구,766,0.163326226012793,0.20 ,7.66
강남구,4690,1,1.00 ,46.9
송파구,477,0.101705756929638,0.10 ,4.77
강동구,228,0.0486140724946695,0.00 ,2.28
